PLAYER,TEAM,GP,W,L,OFFRTG,DEFRTG,USG.,PIE,PACE,POSS,WINPCT,TEAMWIN
Ish Smith,DEN,43,25,18,102.3,107.5,18.7,7.2,101.21,843,0.581,0.622
Jeremiah Robinson-Earl,OKC,43,16,27,112.9,113.8,14.3,7.6,103.67,1760,0.372,0.537
Jordan McLaughlin,MIN,43,22,21,111.7,105.9,11.2,8.6,106.51,1504,0.512,0.207
Mark Williams,CHA,43,18,25,105.6,110.3,16.8,13.3,102.35,1767,0.419,0.451
Romeo Langford,SAS,43,14,29,107,115.5,14.8,5.9,103.64,1812,0.326,0.268
Sandro Mamukelashvili,SAS,43,23,20,106.3,116.4,17.7,9.1,102.34,1419,0.535,0.268
Ben Simmons,BKN,42,24,18,114.7,112.5,14.2,10.1,100.08,2300,0.571,0.5
Cameron Johnson,BKN,42,25,17,115.3,108.7,20.2,11.3,99.02,2471,0.595,0.5
Duncan Robinson,MIA,42,19,23,108.8,113.8,17.2,4.9,98.82,1428,0.452,0.415
Isaiah Roby,NYK,42,9,33,102.5,112.9,17.3,7,104.03,1025,0.214,0.5
JaVale McGee,DAL,42,20,22,106.1,113.4,21.4,10.5,102.22,754,0.476,0.537
Juancho Hernangomez,TOR,42,20,22,114.3,113.8,9.2,5.6,99.21,1271,0.476,0.585
Marvin Bagley III,DET,42,7,35,107.3,117.9,20.2,11.2,100.15,2062,0.167,0.268
Richaun Holmes,SAC,42,22,20,104.2,113.5,13.2,7.8,102.47,742,0.524,0.537
Steven Adams,MEM,42,28,14,118.7,109,13.9,11.2,101.29,2396,0.667,0.549
T.J. Warren,PHX,42,26,16,112.8,108.4,18.5,9,102.51,1462,0.619,0.488
Victor Oladipo,MIA,42,23,19,110.1,111.5,20.4,7.6,98.07,2258,0.548,0.415
Blake Griffin,BOS,41,27,14,116.5,106.6,12.5,8.6,99.86,1178,0.659,0.695
Damian Jones,UTA,41,12,29,103.6,112.6,10.2,8.1,104.87,1048,0.293,0.524
Lindy Waters III,OKC,41,20,21,115.2,104.8,14.8,7.3,103.31,1150,0.488,0.537
Max Christie,LAL,41,19,22,106.1,113.2,10,5.8,103.55,1106,0.463,0.329
Cam Reddish,POR,40,14,26,108.9,117.8,16.6,6.4,101.35,2087,0.35,0.463
Eugene Omoruyi,DET,40,10,30,111.2,113.1,19.2,6,99.3,1328,0.25,0.268
Keon Johnson,POR,40,13,27,103.2,119.3,23.7,5.9,102.72,887,0.325,0.463
Landry Shamet,PHX,40,19,21,109.9,107.7,18.6,7.5,100.77,1694,0.475,0.488
Patty Mills,BKN,40,18,22,111.2,117,18.2,6.9,103.51,1224,0.45,0.5
Theo Pinson,DAL,40,19,21,108.6,116.2,13.6,7.3,103.82,700,0.475,0.537
